"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,126,147.406622,0.059375,36.922745,0.532993,70946.8,2924.6,3.12,0.00,08/10/2021 09:00:23,-1,18039.161,736.441,316994,0,0,0.0,0.0
2,-1,1,126,150.450553,0.062554,37.683566,0.532803,80357.3,3585.0,3.12,0.00,08/10/2021 09:00:23,-1,20431.903,902.390,317643,0,0,0.0,0.0
3,-1,1,126,158.319135,0.004132,39.650294,0.532024,4239340.7,11226.3,3.12,0.00,08/10/2021 09:00:23,-1,1077908.958,3385.686,295120,0,0,0.0,0.0
4,-1,1,126,160.693608,0.002560,40.243787,0.531858,8377447.3,16366.1,3.12,0.00,08/10/2021 09:00:23,-1,2130077.777,4622.631,234494,0,0,0.0,0.0
5,-1,1,126,169.209221,0.058703,42.372239,0.531466,109053.9,3416.0,3.12,0.00,08/10/2021 09:00:23,-1,27728.403,866.155,191427,0,0,0.0,0.0
6,-1,1,126,171.988975,0.075126,43.067030,0.531401,193051.8,6953.5,3.12,0.00,08/10/2021 09:00:23,-1,49086.001,1764.011,190870,0,0,0.0,0.0
7,-1,1,126,173.893177,0.233360,43.542980,0.534131,40313.9,8770.6,3.12,0.00,08/10/2021 09:00:23,-1,10250.339,2229.335,190475,0,0,0.0,0.0
8,-1,1,126,181.663082,0.009252,45.485044,0.530400,4343773.3,51215.0,3.12,0.00,08/10/2021 09:00:23,-1,1104462.324,12575.534,169220,0,0,0.0,0.0
9,-1,1,126,183.015395,0.128447,45.823051,0.531271,337224.0,48497.7,3.12,0.00,08/10/2021 09:00:23,-1,85743.712,12371.166,152506,0,0,0.0,0.0
10,-1,1,126,186.565657,0.021935,46.710428,0.530081,1272648.2,21404.6,3.12,0.00,08/10/2021 09:00:23,-1,323587.800,5383.167,137969,0,0,0.0,0.0
11,-1,1,126,188.017388,0.203998,47.073284,0.532399,84020.1,24387.6,3.12,0.00,08/10/2021 09:00:23,-1,21363.239,6205.679,133166,0,0,0.0,0.0
12,-1,1,126,194.860385,0.019772,48.783670,0.529499,97093.2,1413.9,3.12,0.00,08/10/2021 09:00:23,-1,24687.231,354.928,132165,0,0,0.0,0.0
13,-1,1,126,200.014855,0.058284,50.072015,0.529318,31054.2,1190.1,3.12,0.00,08/10/2021 09:00:23,-1,7895.941,300.726,132685,0,0,0.0,0.0
14,-1,1,126,291.448119,0.009836,72.925485,0.522801,1057037.2,4738.0,3.34,0.01,08/10/2021 09:00:23,-1,254803.951,4511.122,200279,0,0,0.0,0.0
15,-1,1,126,300.108252,0.008427,75.090059,0.522204,1918741.4,8634.6,3.34,0.01,08/10/2021 09:00:23,-1,462521.942,8364.110,193651,0,0,0.0,0.0
16,-1,1,126,326.755883,0.339043,81.750554,0.527227,30008.8,6358.3,3.81,0.06,08/10/2021 09:00:23,-1,1944.663,385.973,211505,0,0,0.0,0.0
17,-1,1,126,331.029950,0.141519,82.818845,0.521281,105889.7,10880.4,3.81,0.06,08/10/2021 09:00:23,-1,6861.987,658.442,214505,0,0,0.0,0.0
18,-1,1,126,339.428806,0.037026,84.918113,0.519588,1913723.9,32662.4,3.81,0.06,08/10/2021 09:00:23,-1,124015.300,8113.857,233374,0,0,0.0,0.0
19,-1,1,126,345.339405,0.078787,86.395450,0.519475,207016.3,8676.3,3.81,0.06,08/10/2021 09:00:23,-1,13415.306,1018.627,251029,0,0,0.0,0.0
20,-1,1,126,349.536654,0.035852,87.444540,0.518893,833157.8,15396.8,3.81,0.06,08/10/2021 09:00:23,-1,53991.235,3583.070,258564,0,0,0.0,0.0
21,-1,1,126,388.000000,0.311900,97.058338,0.522050,98310.1,40410.0,3.89,0.93,08/10/2021 09:00:23,-1,4187.507,3555.089,262784,0,0,0.0,0.0
22,-1,1,126,393.555857,0.255448,98.447007,0.519756,121816.1,51472.8,3.89,0.93,08/10/2021 09:00:23,-1,5188.746,4500.476,266734,0,0,0.0,0.0
24,-1,1,126,399.156031,0.307852,99.846754,0.521151,105776.2,43596.8,3.89,0.93,08/10/2021 09:00:23,-1,4505.525,3813.807,269466,0,0,0.0,0.0
25,-1,1,126,441.135651,0.241390,110.339434,0.516138,148973.9,48892.2,3.98,0.19,08/10/2021 09:00:23,-1,10383.425,2845.074,325159,0,0,0.0,0.0
26,-1,1,126,446.493741,0.176845,111.678673,0.514142,204519.9,59726.3,3.98,0.19,08/10/2021 09:00:23,-1,14254.960,3764.276,325709,0,0,0.0,0.0
27,-1,1,126,451.456874,0.166820,112.919193,0.513600,228145.7,63781.4,3.98,0.19,08/10/2021 09:00:23,-1,15901.666,4129.149,320277,0,0,0.0,0.0
29,-1,1,126,456.246185,0.172250,114.116267,0.513390,229471.0,65004.0,3.98,0.19,08/10/2021 09:00:23,-1,15994.039,4190.166,310626,0,0,0.0,0.0
30,-1,1,126,460.983036,0.183749,115.300228,0.513322,197346.1,57930.0,3.98,0.19,08/10/2021 09:00:23,-1,13754.946,3717.632,297989,0,0,0.0,0.0
31,-1,1,126,466.054629,0.214536,116.567858,0.513728,142862.9,44902.5,3.98,0.19,08/10/2021 09:00:23,-1,9957.491,2784.818,282622,0,0,0.0,0.0
32,-1,1,126,486.877706,0.001020,121.772524,0.509524,38017995.1,7917.5,3.43,0.00,08/10/2021 09:00:23,-1,10066890.866,12748.497,214042,0,0,0.0,0.0
33,-1,1,126,491.885951,0.008193,123.024319,0.509193,469383.6,2010.2,3.43,0.00,08/10/2021 09:00:23,-1,124289.384,514.842,207015,0,0,0.0,0.0
34,-1,1,126,502.331402,0.507653,125.635128,0.524082,8204.4,2225.8,3.43,0.00,08/10/2021 09:00:23,-1,2172.463,589.566,188197,0,0,0.0,0.0
35,-1,1,126,505.000000,0.256746,126.302137,0.512346,15836.6,2266.4,3.43,0.00,08/10/2021 09:00:23,-1,4193.408,600.381,186291,0,0,0.0,0.0
36,-1,1,126,532.156489,0.378304,133.089820,0.515250,7149.4,1987.8,4.10,1.04,08/10/2021 09:00:23,-1,1637.421,330.195,192277,0,0,0.0,0.0
38,-1,1,126,647.290846,0.293513,161.867307,0.504259,14669.4,2789.2,4.27,0.56,08/10/2021 09:00:23,-1,3227.728,412.282,207935,0,0,0.0,0.0
39,-1,1,126,667.976296,0.349082,167.037573,0.505134,7174.2,1921.0,3.90,0.95,08/10/2021 09:00:23,-1,1729.417,337.890,192232,0,0,0.0,0.0
40,-1,1,126,769.957475,1.538202,192.527463,0.623565,17669.6,4956.5,4.45,1.71,08/10/2021 09:00:23,-1,1015.276,1444.362,156720,0,0,0.0,0.0
41,-1,1,126,779.382139,1.470961,194.883129,0.612861,21290.7,4095.9,4.45,1.71,08/10/2021 09:00:23,-1,1223.339,1678.285,155111,0,0,0.0,0.0
42,-1,1,126,830.309752,0.305273,207.612333,0.493016,7107.4,1253.9,3.84,0.24,08/10/2021 09:00:23,-1,1739.782,270.771,151320,0,0,0.0,0.0
43,-1,1,126,839.095266,0.221272,209.808246,0.489651,9798.6,1381.1,3.84,0.24,08/10/2021 09:00:23,-1,2398.523,280.983,151500,0,0,0.0,0.0
44,-1,1,126,849.362920,0.090051,212.374615,0.486387,24249.7,1612.8,3.84,0.24,08/10/2021 09:00:23,-1,5935.909,281.356,151079,0,0,0.0,0.0
45,-1,1,126,947.636768,0.316365,236.937869,0.486158,6728.3,954.3,3.89,0.00,08/10/2021 09:00:23,-1,1551.706,220.905,123634,0,0,0.0,0.0
46,-1,1,126,953.472455,0.376962,238.396481,0.488493,5604.4,969.0,3.89,0.00,08/10/2021 09:00:23,-1,1292.505,224.384,121650,0,0,0.0,0.0
47,-1,1,126,978.263562,0.003380,244.592944,0.477780,7847195.4,4961.5,3.89,0.00,08/10/2021 09:00:23,-1,1809748.878,8364.596,111894,0,0,0.0,0.0
48,-1,1,126,991.212958,0.036270,247.829607,0.477064,58454.9,1176.7,3.89,0.00,08/10/2021 09:00:23,-1,13481.086,266.872,106175,0,0,0.0,0.0
49,-1,1,126,1006.013844,0.028154,251.529044,0.476115,68937.0,994.2,3.89,0.00,08/10/2021 09:00:23,-1,15898.512,241.785,101428,0,0,0.0,0.0
50,-1,1,126,1084.081790,0.077558,271.041893,0.471679,82781.5,2044.1,3.92,0.10,08/10/2021 09:00:23,-1,14220.186,932.448,86649,0,0,0.0,0.0
51,-1,1,126,1101.300774,0.090110,275.345726,0.470774,38881.0,1309.7,3.92,0.10,08/10/2021 09:00:23,-1,6678.966,467.979,84638,0,0,0.0,0.0
52,-1,1,126,1142.691993,0.208111,285.691337,0.470620,11005.5,1092.0,4.94,0.51,08/10/2021 09:00:23,-1,2094.320,183.281,78374,0,0,0.0,0.0
53,-1,1,126,1183.232081,0.005264,295.824211,0.465311,401725.4,1125.2,4.12,0.01,08/10/2021 09:00:23,-1,91598.145,269.055,71819,0,0,0.0,0.0
54,-1,1,126,1260.634857,0.046598,315.170802,0.460878,45235.1,1096.4,5.05,0.12,08/10/2021 09:00:23,-1,8410.057,167.181,58600,0,0,0.0,0.0
55,-1,1,126,1298.772686,0.055943,324.703238,0.458715,82152.3,4789.5,4.01,0.09,08/10/2021 09:00:23,-1,12200.669,785.223,52457,0,0,0.0,0.0
56,-1,1,126,1316.982091,0.051164,329.254624,0.457623,128897.0,6501.1,4.01,0.09,08/10/2021 09:00:23,-1,19142.856,1145.125,50821,0,0,0.0,0.0
57,-1,1,126,1361.268048,0.067802,340.323766,0.455205,29384.9,916.4,4.23,0.00,08/10/2021 09:00:23,-1,6148.422,193.040,50439,0,0,0.0,0.0
58,-1,1,126,1366.135584,0.261506,341.540392,0.459285,9281.4,1001.9,4.23,0.00,08/10/2021 09:00:23,-1,1942.028,208.435,50258,0,0,0.0,0.0
59,-1,1,126,1376.612514,0.002408,344.159070,0.454011,22108603.5,5334.9,4.23,0.00,08/10/2021 09:00:23,-1,4625952.229,14291.478,47468,0,0,0.0,0.0
60,-1,1,126,1406.482897,0.082551,351.625082,0.452778,17079.1,640.1,4.23,0.00,08/10/2021 09:00:23,-1,3573.599,134.326,43431,0,0,0.0,0.0
61,-1,1,126,1428.086414,0.528466,357.024816,0.470026,2560.9,575.3,4.23,0.00,08/10/2021 09:00:23,-1,535.840,120.456,41808,0,0,0.0,0.0
62,-1,1,126,1465.543227,0.101330,366.387035,0.449690,22213.8,807.6,4.34,0.01,08/10/2021 09:00:23,-1,4807.012,180.634,39379,0,0,0.0,0.0
63,-1,1,126,1470.617502,0.004220,367.655334,0.448694,668439.1,1328.7,4.34,0.01,08/10/2021 09:00:23,-1,144648.340,273.340,39150,0,0,0.0,0.0
64,-1,1,126,1543.163030,0.075539,385.787871,0.445070,21260.2,761.4,4.96,0.19,08/10/2021 09:00:23,-1,4029.176,129.027,36534,0,0,0.0,0.0
65,-1,1,126,1643.864005,0.010548,410.957778,0.439215,1627365.1,1602.0,4.46,0.01,08/10/2021 09:00:23,-1,328203.607,4018.711,33955,0,0,0.0,0.0
66,-1,1,126,1663.379239,0.021539,415.835552,0.438198,75734.1,597.4,4.46,0.01,08/10/2021 09:00:23,-1,15273.895,227.761,33531,0,0,0.0,0.0
67,-1,1,126,1763.052294,0.318445,440.748533,0.440187,4773.2,557.8,4.56,0.01,08/10/2021 09:00:23,-1,925.208,105.407,32461,0,0,0.0,0.0
68,-1,1,126,1775.168416,0.010637,443.776922,0.432313,2158975.0,2588.0,4.56,0.01,08/10/2021 09:00:23,-1,418479.501,5610.929,32390,0,0,0.0,0.0
69,-1,1,126,1863.527736,0.206168,465.862069,0.430899,6655.5,803.9,4.72,0.54,08/10/2021 09:00:23,-1,1325.647,124.474,32122,0,0,0.0,0.0
70,-1,1,126,1911.602597,1.062690,477.878236,0.501523,1308.8,522.3,4.79,0.02,08/10/2021 09:00:23,-1,256.836,102.445,32241,0,0,0.0,0.0
71,-1,1,126,1928.356922,0.092889,482.065929,0.425217,15321.4,548.0,4.79,0.02,08/10/2021 09:00:23,-1,3006.633,106.327,32339,0,0,0.0,0.0
72,-1,1,126,1953.954380,0.007036,488.463937,0.423332,263817.3,874.1,4.79,0.02,08/10/2021 09:00:23,-1,51770.796,176.987,32418,0,0,0.0,0.0
73,-1,1,126,1973.813349,0.056745,493.427627,0.422601,25501.8,561.0,4.79,0.02,08/10/2021 09:00:23,-1,5004.398,108.149,32422,0,0,0.0,0.0
74,-1,1,126,1984.688571,0.224803,496.145856,0.425562,6251.9,536.6,4.79,0.02,08/10/2021 09:00:23,-1,1226.846,104.959,32403,0,0,0.0,0.0
75,-1,1,126,2013.075431,0.045166,503.241066,0.420623,116292.9,15785.7,4.68,0.06,08/10/2021 09:00:23,-1,17844.388,440.036,31552,0,0,0.0,0.0
